"sep=;";;
Body Part;Exam Description;Full Protocol
PEDIATRIC STERNUM;XR Sternum 2+ Views;<a href="https://drive.google.com/file/d/1t9AdWzvGgZySmhUgqwSzaXz8zPGp3BcG/view?usp=drive_link" target="_blank">PEDIATRIC STERNUM</a>
PEDIATRIC THORACIC SPINE;XR T Spine 2 Views;<a href="https://drive.google.com/file/d/1RNNL-duRIapx-P2K3a2AGP6RVLvHAvSF/view?usp=drive_link" target="_blank">PEDIATRIC THORACIC SPINE</a>
PEDIATRIC TIB FIB;XR Tibia+Fibula 2 Views Bil<br>XR Tibia+Fibula 2 Views Lt<br>XR Tibia+Fibula 2 Views Rt;<a href="https://drive.google.com/file/d/17fWXOY_FQ7YZu-UBUmvX5QpDYC9b3R66/view?usp=drive_link" target="_blank">PEDIATRIC TIB FIB</a>
PEDIATRIC TOE;XR Toe 2+ Views Bil<br>XR Toe 2+ Views Lt<br>XR Toe 2+ Views Rt;<a href="https://drive.google.com/file/d/1cQhTifgS6XOINM6ed20rBnGgxn1ffCXY/view?usp=drive_link" target="_blank">PEDIATRIC TOE</a>
PEDIATRIC WRIST;XR Wrist 3+ Views Bil<br>XR Wrist 3+ Views Lt<br>XR Wrist 3+ Views Rt;<a href="https://drive.google.com/file/d/1mT8LKh1No153vCFUXsYJZYab3BE07_jl/view?usp=drive_link" target="_blank">PEDIATRIC WRIST</a>
PELVIS;XR Pelvis 1-2 Views;<a href="https://drive.google.com/file/d/17jHDNB7iCtK3CqHkbWA5xxXwL3eBrGgv/view?usp=drive_link" target="_blank">PELVIS</a>
RIBS;XR Ribs 2 Views Lt<br>XR Ribs 2 Views Rt<br>XR Ribs w PA Chest 3+ Views Lt<br>XR Ribs w PA Chest 3+ Views Rt<br>XR Ribs 3 Views Bil<br>XR Ribs w PA Chest 4+ Views Bil;<a href="https://drive.google.com/file/d/1HDQzGl_1LIlaS9kYwJV_5ofDCDkyM7uL/view?usp=drive_link" target="_blank">RIBS</a>
SACROILIAC JOINTS;XR SI Jnts 3+ Views;<a href="https://drive.google.com/file/d/1DozcZA2pa_hdrLzySz6W0Qrf_NaMPbgY/view?usp=drive_link" target="_blank">SACROILIAC JOINTS</a>
SACRUM, COCCYX;XR Sacrum+Coccyx 2+ Views;<a href="https://drive.google.com/file/d/1YUraaUhpAghd9T025YohmgCCncJigfMz/view?usp=drive_link" target="_blank">SACRUM, COCCYX</a>
SCAPULA;XR Scapula Complete Bil<br>XR Scapula Complete Lt<br>XR Scapula Complete Rt;<a href="https://drive.google.com/file/d/1viuNuYNeNYKIBLpHb8DeoPeukFoX5BEd/view?usp=drive_link" target="_blank">SCAPULA</a>
SHOULDER;XR Shoulder 2+ Views Bil<br>XR Shoulder 2+ Views Lt<br>XR Shoulder 2+ Views Rt;<a href="https://drive.google.com/file/d/1Uu-j3-0CbWYo4xOzxldB6Rkg_FE6JLJQ/view?usp=drive_link" target="_blank">SHOULDER</a>
SINUSES;XR Sinuses 1-2 Views<br>XR Sinuses 3+ Views;<a href="https://drive.google.com/file/d/1045--YM7gchPMnNSreOS3tbwVLOldakW/view?usp=drive_link" target="_blank">SINUSES</a>
SKULL, HEAD;XR Skull 1-3 Views<br>XR Skull 4+ Views;<a href="https://drive.google.com/file/d/10n2GXsHsYGSvgdKPhLLV6IB5eFXOOqB0/view?usp=drive_link" target="_blank">SKULL</a>
SOFT TISSUE NECK;XR Neck Soft Tissue;<a href="https://drive.google.com/file/d/1XQQvDQqqNPr4X_Xfzuk_3QcMrCKBh_hO/view?usp=drive_link" target="_blank">SOFT TISSUE NECK</a>
SPINE, CERVICAL;XR C Spine 2-3 Views<br>XR C Spine 4-5 Views<br>XR C Spine 6 or more Views;<a href="https://drive.google.com/file/d/1SXXU0810F0-jmE9PhFdMZOZLHK_oXDOM/view?usp=drive_link" target="_blank">SPINE, CERVICAL</a>
SPINE, LUMBOSACRAL, LS;XR L Spine 2-3 Views<br>XR L Spine 4-5 Views<br>XR L Spine 6+ Views w Bending<br>XR L Spine Bending Only 2-3 Views;<a href="https://drive.google.com/file/d/1GzAb9ZF0HlCiRM6uDUSXTmCj78wTdHD3/view?usp=drive_link" target="_blank">SPINE, LUMBAR</a>
SPINE, SCOLIOSIS;XR Scoliosis Spine 1 View;<a href="https://drive.google.com/file/d/1bQGAU0nq8LRnWTmGDc9EHp1sshZZqfw3/view?usp=drive_link" target="_blank">SCOLIOSIS</a>
SPINE, THORACIC;XR T Spine 2 Views<br>XR T Spine 3 Views<br>XR T Spine 4+ Views;<a href="https://drive.google.com/file/d/136n4L19CtHRLRnQiKJ6rUqDGsr-oaYsf/view?usp=drive_link" target="_blank">SPINE, THORACIC</a>
SPINE, THORACOLUMBAR;XR Thoracolumbar 2 Views;<a href="https://drive.google.com/file/d/1UC4At_lu5KqMIfViwtSFSvbnua-c5Gdv/view?usp=drive_link" target="_blank">THORACOLUMBAR</a>
STERNOCLAVICULAR JOINTS;XR Sternoclavicular Jnts 3+ Views;<a href="https://drive.google.com/file/d/1z0YYvIivZgGLOGxUujWfZ9RKboF_1FjD/view?usp=drive_link" target="_blank">STERNOCLAVICULAR JOINTS</a>
STERNUM;XR Sternum 2+ Views;<a href="https://drive.google.com/file/d/1p3Fn_4TFLSghwSOGDBWI_N9uWCB4MECp/view?usp=drive_link" target="_blank">STERNUM</a>
TEMPOROMANDIBULAR JOINT;XR TMJ Lt<br>XR TMJ Rt<br>XR TMJ Bil;<a href="https://drive.google.com/file/d/1OQdchp9Q_hIBd6rFBlAgBbfUNhmGIIHs/view?usp=drive_link" target="_blank">TMJ</a>
TIB FIB;XR Tibia+Fibula 2 Views Bil<br>XR Tibia+Fibula 2 Views Lt<br>XR Tibia+Fibula 2 Views Rt;<a href="https://drive.google.com/file/d/19BKbU5cGrBBiQQElpT0oJqbD6x1kHuhT/view?usp=drive_link" target="_blank">TIBIA FIBULA</a>
TOE;XR Toe 2+ Views Bil<br>XR Toe 2+ Views Lt<br>XR Toe 2+ Views Rt;<a href="https://drive.google.com/file/d/16-P6cFk-rlqgMKQQWQE5MsO5SplEsPsb/view?usp=drive_link" target="_blank">TOE</a>
UPPER EXTREMITY, INFANT;XR Upper Extrem Infant 2+ Views Lt<br>XR Upper Extrem Infant 2+ Views Rt;<a href="https://drive.google.com/file/d/1A64jFapWlZo00bv4kN5cyxEQa3FQOB6W/view?usp=drive_link" target="_blank">INFANT UPPER EXTREMITY</a>
WRIST;XR Wrist 3+ Views Bil<br>XR Wrist 3+ Views Lt<br>XR Wrist 3+ Views Rt;<a href="https://drive.google.com/file/d/1W9xxWNLZqcRZYBe4lZhm-Xjg5yZt_X0l/view?usp=drive_link" target="_blank">WRIST</a>
